regionshort,year,totalpop,gdp2017ppp,gdp2017pppcapita
SAP,2019,673179069,8363069363363.527,12423.246277972923
MEA,2019,210614753,5234709490949.267,24854.429314119636
APD,2019,156977945,6745685897850.4,42972.18885016236
AFR,2019,1291757266,6497919907450.561,5030.294838264575
SAS,2019,1835776769,11693252036783.422,6369.648115306019
LAC,2019,606366036,9710580796399.521,16014.387712836082
EEA,2019,291392708,5889695043724.922,20212.225227423747
EAS,2019,1470883334,25275173362667.656,17183.66968910646
EUR,2019,627580494,26610483548762.04,42401.70592166626
NAM,2019,365995094,22361209209304.484,61097.018992567384
